"rain","muddy roads","After several days in the countryside, the group noticed that the persistent <e1>rain</e1> seemed to coincide with the appearance of <e2>muddy roads</e2>. Some locals remarked that traveling became difficult during this period. The drivers often mentioned how their vehicles would get stuck. Hikers, too, would frequently complain about slippery paths. There was a shared understanding that these conditions were related.","true","Common Sense Causation"
"sunlight","sunburn","Many tourists visiting the beach enjoyed lounging under direct <e1>sunlight</e1>. By the end of the day, a few of them noticed patches of <e2>sunburn</e2> on their shoulders. The group exchanged stories about summer trips and the importance of hats. Some wondered if the intensity of the sun had changed recently. There was a consensus that a day at the beach brought certain risks.","true","Common Sense Causation"
"exercise","fatigue","In the late afternoon, the gym was bustling with people eager for <e1>exercise</e1>. Afterwards, participants often sat in the lounge complaining of <e2>fatigue</e2>. Trainers suggested that everyone pace themselves. Some believed new routines might be too challenging. Stories circulated about the link between gym visits and tiredness.","true","Common Sense Causation"
"traffic jam","late arrival","On Monday mornings, many commuters reported encountering a <e1>traffic jam</e1> on the highway. A significant number of them experienced a <e2>late arrival</e2> at work. Discussions in the office pointed out how unpredictable the roads could be. Some joked that Mondays were cursed. Others speculated on the root cause of their tardiness.","true","Common Sense Causation"
"cold weather","frost","As autumn deepened, residents noticed that <e1>cold weather</e1> often corresponded with the presence of <e2>frost</e2> on their lawns. The early mornings were filled with sparkling grass and chilly air. Gardeners adjusted their routines, wary of the icy coating. Some neighbors commented on scraping their windshields more frequently. There seemed to be a pattern to these seasonal changes.","true","Common Sense Causation"
"broken pipe","flooded basement","Homeowners were alarmed when a <e1>broken pipe</e1> was discovered in the hallway. Not long after, the family found a <e2>flooded basement</e2>. They discussed the possible sources of the water intrusion at length. Plumbers inspected various parts of the property. It was a mystery that seemed to have a likely explanation.","true","Common Sense Causation"
"fire","smoke","In the distance, campers saw a <e1>fire</e1> burning near the edge of the forest. Soon after, they noticed <e2>smoke</e2> drifting through the trees. Some people covered their mouths as the air thickened. Stories about past wildfires circled among the crowd. The group remained vigilant, aware of the connections present in nature.","true","Common Sense Causation"
"alarm clock","waking up","Every morning, the persistent ring of the old <e1>alarm clock</e1> filled the bedroom. Shortly after, everyone began <e2>waking up</e2>. Some complained about the early hour while others were grateful for the reminder. The routine went unquestioned for years. Family members speculated whether mornings would be the same without it.","true","Common Sense Causation"
"strong wind","fallen branches","After a night marked by <e1>strong wind</e1>, residents found several <e2>fallen branches</e2> strewn across their yards. Neighbors gathered outside to inspect the damage. The local news mentioned the unusual weather event. Some people wondered if the trees were getting weaker. There was general agreement that such mornings were common after storms.","true","Common Sense Causation"
"overheating","engine failure","During the road trip, a few drivers voiced concerns about <e1>overheating</e1> in their vehicles. Strangely, one car experienced an <e2>engine failure</e2> shortly after. The group speculated about maintenance schedules. Mechanics offered differing opinions about possible causes. The link between the two incidents was a frequent topic of debate.","true","Common Sense Causation"
